Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
O'Connor's Seafood Restaurant,https://www.oconnorseafood.com/,3532755664,-9.453613,51.680211,Cork,Bantry,Republic of Ireland,"Food and Drink,Restaurant,Seafood"
Rolf's Country House Restaurant & Wine Bar,https://rolfscountryhouse.com/restaurant/,3532820289,-9.3684289,51.4792193,Cork,Baltimore,Ireland,"Covid Safety Charter,Food and Drink,Restaurant"
Waterford Marina,http://www.waterfordcouncil.ie/departments/roads-parking/marinas.htm,+353(0)872384944,-7.106558,52.259892,Waterford,Waterford City,Republic of Ireland,"Cruising,Sailing,Activity Operator,Marina,Venue"
Specialty Golf Trips,http://www.specialtygolftrips.com,353526000000,-7.7207434,52.3742794,Tipperary,,Ireland,"Golf,Activity Operator,Tour"
Classic India,http://www.classicindia.ie,353719000000,-8.4734024,54.2700632,Sligo,,Ireland,"Food and Drink,Restaurant"
Brioche,http://www.brioche.ie,+353(0)14979163,-6.254514707,53.32500756,Dublin,Ranelagh,Ireland,"Food and Drink,Restaurant,Vegetarian"
S O'C Guiding Service,,+353(0)646631654,-9.575891175,52.07530167,Kerry,Aghadoe,Republic of Ireland,"Activity Operator,Tour"
Gourmet Parlour Coffee Shop -  Collooney,http://gourmetparlour.com,353862000000,-8.4715781,54.2723001,Sligo,,Ireland,"Covid Safety Charter,Food and Drink,Restaurant,Cafe"
Wild Atlantic Charters,http://wildatlanticcharters.ie,+353(0)834658374,-9.606992975,53.83899122,Mayo,Westport,Ireland,"Bird Watching,Nature and Wildlife,Fishing,Angling,Activity Operator,Boat,Tour"
The Ha'Penny Laugh,,+353(0)16770616,-6.263344,53.345871,Dublin,Dublin City Centre,Republic of Ireland,
Mullingar Cycle Hub,,,-7.337336983,53.52532354,Westmeath,,Ireland,Cycling
Killashee Spa,https://www.killasheehotel.com/spa.html,35345879277,-6.6768388,53.1906097,Kildare,Killashee,Ireland,"Pampering,Health Farm,Spa and Wellness,Specialised Retreat,Spa,Food and Drink,Restaurant,Activity Operator"
Irish Film Institute Cafe Bar,http://www.ifi.ie/cafebar,+353(0)16798712,-6.264943,53.344624,Dublin,Dublin City Centre,Republic of Ireland,"Covid Safety Charter,Food and Drink,Restaurant,Cafe"
Carol Smith Millinery,https://www.carolsmithhats.com,35340443101,-6.224878475,52.9720525,Wicklow,Rathdrum,Ireland,"Craft,Shopping,Learning,Activity Operator,Food Shops"
"North West, North and West Tours",,+353(0)719851692,-8.229476624,54.52620607,Donegal,Creevy,Republic of Ireland,"Walking,Activity Operator,Tour"
Sam Maguire Passport Trail,http://www.visitdunmanway.com/sammaguirepassport.html,+353(0)872390849,-9.114077437,51.72161045,Cork,Dunmanway,Republic of Ireland,"Walking,Activity Operator,Tour"
Wild Atlantic Tae,https://twitter.com/wildatlantictae?lang=en,353862000000,-7.6319416,55.2761314,Donegal,Letterkenny,Ireland,"Food and Drink,Restaurant,Cafe"
The Art Hand -  Art School,http://www.theArtHand.com,35351292919,-7.334564,52.13815,Waterford,Bunmahon,Ireland,"Craft,Shopping,Learning,Activity Operator"
Broadford Ashford Walking Trails - Ashford to Broadford Way,https://www.facebook.com/pages/Broadford-Ashford-Walking-Trails/1415027422098847,,-9.059633,52.360564,Limerick,,Ireland,"Walking,Forest Park,Park and Forest Walk"
Kelly’s Pub,http://www.facebook.com/kellys.ashbourne/timeline,35318350173,-6.3975801,53.5115903,Meath,Milltown,Ireland,"Food and Drink,Restaurant,Pubs and Bar"
Leitrim Indoor Shooting and Archery,http://www.leitrimindoorshooting.com,353720000000,-8.0651118,53.990794,Leitrim,Leitrim,Ireland,Activity Operator
The Exchequer,http://www.theexchequer.ie,35316706787,-6.263909,53.343095,Dublin,Dublin City Centre,Republic of Ireland,"Food and Drink,Restaurant,Pubs and Bar"
Tierney Cycles & Fishing,https://www.facebook.com/TierneysCycles/,353657000000,-8.982198,52.84475,Clare,Ennis,Republic of Ireland,"Cycling,Bike Rental"
Moat Theatre,http://www.moattheatre.com,+353(0)45883030,-6.66422656,53.21857442,Kildare,Naas,Republic of Ireland,"Craft,Shopping,Venue,Comedy,Music,Activity Operator"
64 Wine,http://64wine.ie,+353(0)12805664,-6.123116772,53.28721528,Dublin,Glenageary,Ireland,"Food and Drink,Restaurant"
Loop Head Walking Tours,http://www.loopheadwalkingtours.ie,353868000000,-9.646629,52.68011,Clare,Kilkee,Ireland,"Walking,Activity Operator,Tour"
Caisleáin Oir Restaurant,http://www.donegalhotel.ie/restaurant,353750000000,-8.3252462,55.0208676,Donegal,Annagry,Ireland,"Food and Drink,Restaurant"
St. Kevins Bus Service,http://www.glendaloughbus.com,+353(0)12818119,-6.225996,53.065661,Wicklow,Roundwood,Republic of Ireland,"Transport,Coach,Road"
The Dungeon Bar,https://www.kinnittycastlehotel.com/dungeon-bar.html,353579000000,-7.6975013,53.1026067,Offaly,Birr,Ireland,"Food and Drink,Restaurant,Pubs and Bar"
Ardkeen Quality Food Store,www.ardkeen.com,35351874620,-7.0821637,52.2462659,Waterford,Waterford City,Ireland,"Cooking,Cookery,Learning,Shopping,Shopping Centres and Department Store,Artisan,Food and Drink,Restaurant,Local Produce,Vegan,Vegetarian,Food Shops"
Eirebus Ltd,http://www.eirebus.ie,+353(0)18242626,-6.359778,53.414194,Dublin,Blanchardstown,Republic of Ireland,"Covid Safety Charter,Transport,Coach,Road"
Spiritual Tours in Ireland,http://spiritualtoursireland.com,+353(0)876422313,-8.917150632,53.79211986,Mayo,Knock,Republic of Ireland,"Activity Operator,Tour"
Camp and Curise Motor Homes,http://www.campandcruise.ie/,+353(0)18623860,-6.239370265,53.41125961,Dublin,,Ireland,"Transport,Coach,Road"
Basecamp Action Adventure Park,http://www.basecampadventurepark.ie,353879000000,-9.141270421,52.55122272,Limerick,Shanagolden,Republic of Ireland,Activity Operator
The Giant's Tour - Railtours Ireland First Class!,http://www.railtoursireland.com,+353(0)18560045,-6.250291,53.351003,Dublin,,Ireland,"Activity Operator,Tour"
Kinvara Farmers Market,https://www.facebook.com/kinvarafarmersmarket/,353868000000,-8.939782,53.139055,Galway,Kinvara,Republic of Ireland,"Food and Drink,Restaurant,Shopping,Shopping Centres and Department Store,Food Shops"
John Dooley PGA,http://www.johndooleypga.ie,353212000000,-8.386656,51.930062,Cork,Riverstown,Ireland,"Golf,Learning,Activity Operator"
Black Head Looped Walk,,,-9.282518653,53.11340748,Clare,Fanore,Republic of Ireland,Walking
Liam Costigan Gold and Silversmith,https://www.liamcostigan.com/,353568000000,-7.2541519,52.6519972,Kilkenny,Kilkenny City,Ireland,"Craft,Shopping,Shopping Centres and Department Store,Food Shops"
O'Reilly & Turpin,http://www.oreillyturpin.ie/,3539828151,-9.5230021,53.7985647,Mayo,Westport,Ireland,"Craft,Shopping,Shopping Centres and Department Store,Food Shops"
Montmartre,https://montmartrerestaurant.ie/,353719000000,-8.4743965,54.2679107,Sligo,,Ireland,"Food and Drink,Restaurant"
Keogh Tours,http://keoghtoursireland.com,+353(0)860437878,-6.258213235,53.35640756,Dublin,Dublin City,Republic of Ireland,"Activity Operator,Tour"
FXB Grill at Ryans of Parkgate Street,http://www.fxbuckley.ie/contact-us/,+353(0)16776097,-6.293632,53.348172,Dublin,,Republic of Ireland,"Food and Drink,Restaurant,Pubs and Bar"
River Spa at the Falls Hotel,https://www.fallshotel.ie/relax.html,353657000000,-9.2972969,52.9413929,Clare,Glencree,Ireland,"Pampering,Health Farm,Spa and Wellness,Specialised Retreat,Fitness and Leisure,Venue,Spa"
The Shelbourne Hotel Horseshoe Bar,https://www.theshelbourne.com/dine-drink/the-horseshoe-bar,+353(0)16634500,-6.256063,53.339053,Dublin,,Republic of Ireland,"Food and Drink,Restaurant,Pubs and Bar"
Quadventure,http://www.quadventure.ie,353539000000,-6.7609004,52.4432011,Wexford,Clonroche,Ireland,"Covid Safety Charter,Activity Operator"
The Locke Bar,http://www.lockebar.com,35361413733,-8.6231786,52.6672302,Limerick,,Ireland,"Covid Safety Charter,Food and Drink,Restaurant,Pubs and Bar"
Evergreen Healthfoods Moycullen,https://www.evergreen.ie,35391868580,-9.1811378,53.3370082,Galway,Moycullen,Ireland,"Shopping,Shopping Centres and Department Store,Food Shops"
Mullaghareirk - Rowls-Langford Loop,http://www.irishtrails.ie/Trail/Mullaghareirk---Rowls---Langford-loop/94/,,-8.899255638,52.13094335,Cork,,Ireland,Walking
The Mill Restaurant,http://www.blarneywoollenmillshotel.com/en/dining/,353214000000,-8.5647095,51.9331923,Cork,Blarney,Ireland,"Food and Drink,Restaurant"
Carlow Golf Club,https://www.carlowgolfclub.ie,353599000000,-6.893996,52.852429,Carlow,,Ireland,"Golf Course,Covid Safety Charter,Golf,Activity Operator"
Hartleys Brasserie,,+353(0)12806767,-6.134013,53.29477,Dublin,,Republic of Ireland,"Covid Safety Charter,Food and Drink,Restaurant"
Woodstock Cafe,http://www.woodstockcafe.ie,+353(0)18300265,-6.272538935,53.36124301,Dublin,Phibsboro,Republic of Ireland,"Covid Safety Charter,Food and Drink,Restaurant,Cafe"
Michael Vignoles,https://www.michaelvignoles.com/,353868000000,-9.057491,53.266265,Galway,Galway City,Republic of Ireland,"Craft,Shopping,Shopping Centres and Department Store,Food Shops"
Renew Beauty Spa at Castlerosse Park Resort,https://www.castlerosse.ie/spa-hotel-in-killarney.html,353647000000,-9.5393155,52.0664342,Kerry,Fossa,Ireland,"Pampering,Health Farm,Spa and Wellness,Specialised Retreat,Spa"
Luxury Charter Lough Corrib,http://www.facebook.com/corribcharter,+353(0)91442921,-9.274893452,53.53110425,Mayo,Cong,Ireland,"Cruising,Sailing,Activity Operator,Boat,Tour"
The Playbarn,http://www.theplaybarn.com,+353(0)45882670,-6.618888,53.231279,Kildare,Johnstown,Republic of Ireland,"Activity Operator,Cafe,Food and Drink"
Joe Moroney Coaches,http://www.joemoroney.com,+353(0)2761466,-6.120996,53.188002,Wicklow,Bray,Republic of Ireland,"Transport,Coach,Road"
Yoga Roots Ireland,https://www.facebook.com/yogaroots.ie,+353(0)871144470,-9.081262091,53.25911706,Galway,,Ireland,Activity Operator
The Huntsman Bar and Restaurant,https://www.facebook.com/pages/category/Pub/The-Huntsman-Bar-Restaurant-Belgooly-170030323009800,353215000000,-8.4836233,51.736409,Cork,Belgooly,Ireland,"Covid Safety Charter,Food and Drink,Restaurant,Pubs and Bar"
Rosses Anglers Association,http://www.fishinginireland.info/salmon/north/rosses.htm,+353(0)749521163,-8.360993071,54.95087874,Donegal,Dungloe,Republic of Ireland,"Fishing,Angling,Activity Operator"
OMG,https://www.omggalway.com/,35391509950,-9.0529305,53.2726602,Galway,Galway City,Ireland,"Shopping,Shopping Centres and Department Store,Food Shops"
Kingfisher Cycle Trail,http://www.kingfishercycletrail.com,+44(0)2866323110,-8.178592,54.306503,Fermanagh,Enniskillen,Republic of Ireland,Cycling
Hook Head Adventures,http://www.hookheadadventures.ie/en_GB,353877000000,-6.840037988,52.19224483,Wexford,,Ireland,"Kayaking,Activity Operator,Cycling,Tour"
Hamptons Grill,http://www.hamptonsgrill.ie/index.html,35361609325,-8.6290707,52.6633598,Limerick,,Ireland,"Food and Drink,Restaurant"
Rally Connection Ltd,http://www.rallyconnection.com,3535847000,-7.7683657,52.173466,Waterford,Cappagh,Ireland,Activity Operator
Grellan Delaney and Sons,https://www.facebook.com/Shellysbarportlaoise,353579000000,-7.2998343,53.0340595,Laois,Portlaoise,Ireland,"Covid Safety Charter,Food and Drink,Restaurant,Pubs and Bar"
Awesome Walls Climbing Centre Dublin,http://awesomewalls.ie/dublin,35318800088,-6.31598,53.4016904,Dublin,Dublin,Ireland,"Climbing,Activity Operator,Adventure Park,Cafe,Food and Drink,Food Shops,Shopping"
Slieveboy Loop,,,-6.483334978,52.66859383,Wexford,Gorey,Republic of Ireland,Walking
Ballycross Apple Farm,https://www.ballycross.com/,353539000000,-6.570994,52.224801,Wexford,Bridgetown,Ireland,"Shopping,Shopping Centres and Department Store,Food Shops"
Seán Ógs Bar,https://www.uptoncourt.ie/sean-ogs-bar/,353539000000,-6.280061,52.517235,Wexford,Kilmuckridge,Ireland,"Food and Drink,Restaurant,Pubs and Bar"
Butlers Chocolate Café Galway,http://www.butlerschocolates.com,35391569901,-9.05184094,53.27337298,Galway,Galway City,Ireland,"Food and Drink,Restaurant,Cafe"
Kieran Hayes Photography,https://www.landscapephotographyireland.com,353879000000,-8.906469,51.6166327,Cork,Clonakilty,Ireland,"Learning,Photography,Activity Operator"
Cork Culinary Tour,https://bonner-travel.com/itinerary/cork-culinary-tour,+353(0)877068391,-8.476500165,51.8990426,Cork,Cork City,Ireland,"Food and Drink,Restaurant,Activity Operator,Food Trails and Tour,Tour"
Galway City Cycle Tours,http://www.galwaycitycycletours.ie/,+353(0)838588899,-9.041125515,53.27665695,Galway,Galway City,Ireland,"Cycling,Activity Operator,Tour"
Jade Garden Restaurant,http://www.jadegarden.ie,353429000000,-6.4038145,54.0024189,Louth,Dundalk,Ireland,"Food and Drink,Restaurant"
The Crafty Rock,https://thecraftyrock.com,353853000000,-6.3662138,53.9628468,Louth,Blackrock,Ireland,"Covid Safety Charter,Craft,Shopping,Learning,Shopping Centres and Department Store,Food Shops"
Trump International Golf Links Doonbeg,https://www.trumpgolfireland.com,353659000000,-9.502573,52.7460738,Clare,Doonbeg,Ireland,"Golf Course,Golf,Driving Range,General,Golf Driving Range,Activity Operator"
De Burgos Bike Hire,http://www.deburgos.ie,353910000000,-8.2171504,53.0917285,Galway,,Ireland,"Cycling,Activity Operator,Bike Rental"
MBW Bike Shop,http://www.mbikeworks.ie,35391556525,-9.172596,53.345671,Galway,Moycullen,Ireland,"Cycling,Shopping,Bike Rental"
Waterford Greenway Cycle Tours & Bike Hire,http://waterfordgreenway.com,  085-1113850,-7.6161014,52.0895354,Waterford,Dungarvan,Ireland,"Cycling,Activity Operator,Bike Rental,Tour"
Sea Fishing off the Clare coast,http://fishinginireland.info/,+353(0)61300238,-9.142606522,53.11741594,Limerick,Limerick City,Republic of Ireland,"Fishing,Angling"
Adam Ladd Tours,https://www.adamladdtours.com/,353852000000,-6.3007858,53.3403825,Dublin,Kilmainham,Ireland,"Activity Operator,Day Tour,Tour,Walking"
Crannmor Pottery,http://www.crannmorpottery.com,353876000000,-6.330918783,52.94684274,Wicklow,Glenmalure,Republic of Ireland,"Craft,Shopping,Shopping Centres and Department Store,Food Shops"
South Coast Sailing,http://www.southcoastsailing.net,+353(0)862623727,-6.992014503,52.14893527,Waterford,Dunmore East,Ireland,"Sailing,Activity Operator,Boat,Tour"
The Lifeboat Inn,http://lifeboatinn.ie,353239000000,-8.706427199,51.63387456,Cork,Courtmacsherry,Ireland,"Food and Drink,Restaurant,Pubs and Bar,Seafood,Vegetarian"
Eatyard,http://the-eatyard.com,+353(0)19060218,-6.264529363,53.33185659,Dublin,,Ireland,"Food and Drink,Restaurant,Vegetarian"
Butlers Chocolate Café - Limerick,https://www.butlerschocolates.com/en,35361228588,-8.645748,52.640457,Limerick,Dooradoyle,Ireland,"Food and Drink,Restaurant,Cafe"
Roadbikehire.ie,http://roadbikehire.ie,353869000000,-6.1265601,53.2541173,Dublin,Killiney,Ireland,"Cycling,Activity Operator,Bike Rental"
